TCP | 03/30/1999 09:10:46 | 172.16.112.50:32853 | 197.182.91.233:21 | 72.16
TCP | 03/30/1999 08:09:18 | 135.8.60.182:1026 | 172.16.112.194:21 | 50.52
TCP | 03/30/1999 08:34:00 | 197.218.177.69:2136 | 172.16.112.100:21 | 27.92
TCP | 03/30/1999 09:21:23 | 135.8.60.182:4563 | 172.16.112.100:21 | 73.85
TCP | 03/30/1999 09:09:53 | 172.16.114.148:25371 | 197.218.177.69:21 | 30.86
TCP | 03/30/1999 08:59:49 | 172.16.113.105:15905 | 197.218.177.69:21 | 57.69
TCP | 03/30/1999 08:32:12 | 172.16.114.169:4571 | 197.218.177.69:21 | 76.03
TCP | 03/30/1999 08:04:08 | 196.37.75.158:1172 | 172.16.112.100:21 | 35.17
TCP | 03/30/1999 09:47:34 | 197.218.177.69:8253 | 172.16.112.100:21 | 33.78
TCP | 03/30/1999 08:59:37 | 172.16.114.207:15637 | 197.218.177.69:21 | 28.63
TCP | 03/30/1999 09:22:02 | 135.8.60.182:4929 | 172.16.112.100:21 | 31.37
TCP | 03/30/1999 09:23:29 | 135.8.60.182:5187 | 172.16.112.100:21 | 127.95
TCP | 03/30/1999 08:17:24 | 172.16.114.207:3080 | 197.218.177.69:21 | 25.49
TCP | 03/30/1999 09:44:34 | 195.115.218.108:7770 | 172.16.112.100:21 | 57.28
TCP | 03/30/1999 09:07:59 | 135.8.60.182:4179 | 172.16.112.100:21 | 33.59
Max attack 21 : 127.95192655532394
Min attack 21 : 25.492632179757937
Max free 21 : 83.35859168300215
Min free 21 : 32.13549267450103
Total time is : 0 hour 0 minutes 0 seconds
Total attack packet: 15
Total free packet: 3

TCP | 03/30/1999 08:09:26 | 135.8.60.182:1029 | 172.16.112.194:23 | 32.24
TCP | 03/30/1999 09:17:57 | 135.13.216.191:4249 | 172.16.112.50:23 | 22.4
TCP | 03/30/1999 09:16:15 | 194.27.251.21:4241 | 172.16.112.194:23 | 29.73
TCP | 03/30/1999 09:45:08 | 195.115.218.108:8232 | 172.16.112.50:23 | 24.5
TCP | 03/30/1999 09:11:14 | 194.7.248.153:4202 | 172.16.112.194:23 | 28.1
TCP | 03/30/1999 08:41:11 | 202.77.162.213:1025 | 172.16.112.50:23 | 59.5
TCP | 03/30/1999 09:09:17 | 197.182.91.233:1491 | 172.16.112.50:23 | 27.49
TCP | 03/30/1999 08:15:16 | 197.182.91.233:1687 | 172.16.112.50:23 | 25.6
TCP | 03/30/1999 09:10:49 | 135.13.216.191:4194 | 172.16.114.50:23 | 20.9
TCP | 03/30/1999 09:01:04 | 194.7.248.153:3654 | 172.16.113.50:23 | 31.89
TCP | 03/30/1999 09:01:39 | 202.77.162.213:1026 | 172.16.114.50:23 | 48.07
Max attack 23 : 59.50249051710316
Min attack 23 : 20.901124191223573
Max free 23 : 162.37160125782975
Min free 23 : 24.672827050280404
Total time is : 0 hour 0 minutes 0 seconds
Total attack packet: 11
Total free packet: 5

TCP | 03/30/1999 08:12:39 | 172.16.114.148:2140 | 194.27.251.21:25 | 20.95
TCP | 03/30/1999 08:38:53 | 172.16.112.149:4938 | 194.27.251.21:25 | 14.87
TCP | 03/30/1999 09:29:04 | 195.115.218.108:6200 | 172.16.113.84:25 | 19.12
TCP | 03/30/1999 08:04:13 | 194.27.251.21:1200 | 172.16.112.50:25 | 15.8
TCP | 03/30/1999 08:28:36 | 172.16.112.194:4492 | 197.182.91.233:25 | 23.36
TCP | 03/30/1999 08:20:11 | 194.27.251.21:2004 | 172.16.113.84:25 | 13.33
TCP | 03/30/1999 08:48:32 | 194.7.248.153:2765 | 172.16.113.50:25 | 19.1
TCP | 03/30/1999 09:51:15 | 172.16.114.168:7239 | 197.218.177.69:25 | 18.07
TCP | 03/30/1999 08:12:31 | 194.27.251.21:1559 | 172.16.112.100:25 | 18.57
TCP | 03/30/1999 08:14:23 | 196.227.33.189:1620 | 172.16.114.207:25 | 23.01
TCP | 03/30/1999 08:17:53 | 172.16.113.204:3147 | 194.27.251.21:25 | 19.6
TCP | 03/30/1999 08:34:09 | 194.27.251.21:2181 | 172.16.112.194:25 | 15.08
TCP | 03/30/1999 09:35:38 | 194.27.251.21:6865 | 172.16.114.50:25 | 22.69
TCP | 03/30/1999 09:22:19 | 172.16.113.105:7205 | 197.218.177.69:25 | 26.2
TCP | 03/30/1999 08:18:49 | 197.218.177.69:1877 | 172.16.112.100:25 | 19.52
TCP | 03/30/1999 08:23:11 | 197.182.91.233:2072 | 172.16.114.207:25 | 20.52
TCP | 03/30/1999 08:07:33 | 172.16.112.149:1489 | 194.27.251.21:25 | 22.6
TCP | 03/30/1999 08:21:33 | 172.16.113.84:3325 | 194.27.251.21:25 | 17.07
TCP | 03/30/1999 08:20:24 | 196.227.33.189:2064 | 172.16.112.194:25 | 14.68
TCP | 03/30/1999 09:46:29 | 135.13.216.191:8246 | 172.16.114.207:25 | 21.76
TCP | 03/30/1999 08:58:30 | 195.115.218.108:3145 | 172.16.112.100:25 | 92.42
TCP | 03/30/1999 08:12:57 | 172.16.113.204:2589 | 194.27.251.21:25 | 24.34
TCP | 03/30/1999 09:40:29 | 197.218.177.69:7103 | 172.16.112.100:25 | 16.74
TCP | 03/30/1999 09:38:06 | 172.16.112.207:21850 | 194.27.251.21:25 | 18.57
TCP | 03/30/1999 08:02:44 | 194.7.248.153:1052 | 172.16.112.100:25 | 16.23
TCP | 03/30/1999 08:04:30 | 172.16.113.84:1170 | 194.27.251.21:25 | 15.17
TCP | 03/30/1999 09:48:17 | 195.115.218.108:8268 | 172.16.112.100:25 | 20.25
TCP | 03/30/1999 08:48:29 | 194.7.248.153:2749 | 172.16.114.207:25 | 19.15
TCP | 03/30/1999 09:18:54 | 197.218.177.69:4322 | 172.16.112.50:25 | 19.79
TCP | 03/30/1999 08:48:26 | 194.7.248.153:2676 | 172.16.113.84:25 | 19.08
TCP | 03/30/1999 08:23:54 | 196.227.33.189:2075 | 172.16.112.100:25 | 18.23
TCP | 03/30/1999 08:12:25 | 195.115.218.108:1489 | 172.16.113.50:25 | 19.59
TCP | 03/30/1999 08:02:42 | 172.16.112.194:1049 | 197.182.91.233:25 | 23.08
TCP | 03/30/1999 08:03:09 | 135.13.216.191:1113 | 172.16.114.207:25 | 20.12
TCP | 03/30/1999 09:00:14 | 194.7.248.153:3588 | 172.16.113.84:25 | 23.93
TCP | 03/30/1999 09:40:48 | 195.115.218.108:7276 | 172.16.112.194:25 | 64.89
TCP | 03/30/1999 08:32:22 | 197.182.91.233:2129 | 172.16.112.194:25 | 14.44
TCP | 03/30/1999 09:27:51 | 197.182.91.233:6193 | 172.16.112.100:25 | 16.63
TCP | 03/30/1999 09:28:16 | 194.27.251.21:6196 | 172.16.112.194:25 | 17.14
TCP | 03/30/1999 09:40:14 | 195.73.151.50:6994 | 172.16.112.100:25 | 21.04
TCP | 03/30/1999 08:48:37 | 196.227.33.189:2767 | 172.16.113.84:25 | 18.75
