TCP | 03/29/1999 08:16:13 | 172.16.114.168:2000 | 196.37.75.158:25 | Normal
TCP | 03/29/1999 08:56:13 | 172.16.112.149:24699 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:03:45 | 172.16.112.149:17191 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:06:26 | 172.16.117.52:26931 | 206.190.45.108:80 | Normal
TCP | 03/29/1999 08:51:38 | 172.16.117.111:18260 | 208.209.46.36:80 | Normal
TCP | 03/29/1999 09:02:58 | 172.16.112.149:14924 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:01:12 | 172.16.112.149:9886 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:06:15 | 172.16.117.52:26207 | 204.151.33.3:80 | Normal
TCP | 03/29/1999 09:03:14 | 172.16.112.149:15887 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:04:20 | 172.16.116.194:19496 | 143.166.224.42:80 | Normal
TCP | 03/29/1999 08:58:39 | 172.16.117.52:31779 | 206.152.10.38:80 | Normal
TCP | 03/29/1999 08:55:24 | 172.16.114.148:22584 | 204.71.200.74:80 | Normal
TCP | 03/29/1999 08:51:53 | 172.16.116.44:18513 | 207.46.176.50:80 | Normal
TCP | 03/29/1999 08:53:58 | 172.16.112.149:20595 | 209.84.4.31:80 | Normal
TCP | 03/29/1999 09:01:01 | 172.16.112.149:9340 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:01:54 | 172.16.117.111:12290 | 199.94.100.2:80 | Normal
TCP | 03/29/1999 08:47:26 | 172.16.115.87:14166 | 199.95.209.99:80 | Normal
TCP | 03/29/1999 09:06:38 | 172.16.112.149:27293 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:06:57 | 172.16.112.149:28700 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:36:49 | 172.16.117.111:4167 | 207.211.106.40:80 | Normal
TCP | 03/29/1999 09:00:11 | 172.16.112.149:6486 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:04:13 | 172.16.112.149:18593 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:01:39 | 172.16.112.149:10982 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:46:12 | 172.16.115.87:12451 | 204.123.2.107:80 | Normal
TCP | 03/29/1999 08:56:58 | 172.16.112.149:26733 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:45:34 | 172.16.114.148:12227 | 204.71.200.74:80 | Normal
TCP | 03/29/1999 08:43:43 | 172.16.114.207:11526 | 206.132.25.51:80 | Normal
TCP | 03/29/1999 08:43:42 | 172.16.114.207:11339 | 187.187.187.187:80 | Normal
TCP | 03/29/1999 08:56:14 | 172.16.112.149:24704 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:01:45 | 172.16.112.149:11054 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:40:09 | 172.16.112.149:7057 | 208.160.10.122:80 | Normal
TCP | 03/29/1999 08:47:29 | 172.16.116.44:14363 | 207.25.71.200:80 | Normal
TCP | 03/29/1999 09:02:31 | 172.16.112.149:13367 | 207.121.186.144:80 | Normal
TCP | 03/29/1999 08:51:09 | 172.16.117.52:17521 | 204.202.129.230:80 | Normal
TCP | 03/29/1999 08:59:20 | 172.16.116.44:4195 | 206.132.25.51:80 | Normal
TCP | 03/29/1999 09:01:39 | 172.16.112.149:10870 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:06:15 | 172.16.117.52:26175 | 204.151.33.3:80 | Normal
TCP | 03/29/1999 09:04:19 | 172.16.116.194:19062 | 143.166.224.42:80 | Normal
TCP | 03/29/1999 08:39:53 | 172.16.117.52:6486 | 205.181.112.65:80 | Normal
TCP | 03/29/1999 09:03:24 | 172.16.112.149:16452 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:46:19 | 172.16.117.52:12951 | 204.202.129.230:80 | Normal
TCP | 03/29/1999 09:03:03 | 172.16.112.149:15372 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:00:44 | 172.16.112.149:8601 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:52:33 | 172.16.112.149:19525 | 209.84.4.41:80 | Normal
TCP | 03/29/1999 08:57:16 | 172.16.116.44:27744 | 206.132.25.51:80 | Normal
TCP | 03/29/1999 09:05:35 | 172.16.112.149:23624 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:52:17 | 172.16.116.194:19058 | 199.95.74.90:80 | Normal
TCP | 03/29/1999 09:06:10 | 172.16.116.44:25460 | 132.25.1.25:80 | Normal
TCP | 03/29/1999 08:39:52 | 172.16.117.52:6231 | 205.181.112.65:80 | Normal
TCP | 03/29/1999 08:48:15 | 172.16.117.111:14932 | 207.25.71.63:80 | Normal
TCP | 03/29/1999 08:55:36 | 172.16.112.149:23123 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:06:27 | 172.16.112.149:27181 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:01:48 | 172.16.114.148:11336 | 204.71.200.129:80 | Normal
TCP | 03/29/1999 08:51:04 | 172.16.114.148:16940 | 196.37.75.158:25 | Normal
TCP | 03/29/1999 08:59:07 | 172.16.114.148:2072 | 207.25.71.141:80 | Normal
TCP | 03/29/1999 08:40:31 | 172.16.112.149:7847 | 206.132.25.51:80 | Normal
TCP | 03/29/1999 08:58:39 | 172.16.117.52:31443 | 204.74.88.24:80 | Normal
TCP | 03/29/1999 08:56:24 | 172.16.112.149:25376 | 207.121.184.81:80 | Normal
